"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"28","GB50390",83,56,73,46,59,143,95,237,180,112,127,208,-0.77395537730247,3.81295583551087,-4.39503922543715,0.000663523860183658,0.101146383426957,-0.15403194164955
"29","GB50405",21,9,12,11,21,21,21,90,36,29,47,60,-1.20732455379027,1.7881135153888,-4.66572962293443,0.000400048913815255,0.101146383426957,0.122869797978935
"30","GB50847",18,3,19,10,9,14,17,59,27,28,31,40,-1.19677647839924,1.33598683648974,-4.51470937906107,0.000529980162055183,0.101146383426957,-0.185466349010656
"31","GB51062",70,33,72,52,39,78,88,163,121,146,108,129,-0.838459064428255,3.47440025558315,-5.05860999020838,0.000195007701273309,0.101146383426957,0.941180399701865
"32","GB51337",200,63,130,73,102,149,148,482,330,209,210,300,-0.91285641854872,4.51667026216075,-4.48257120413193,0.000562861427284033,0.101146383426957,-0.0102369339539798
"33","GB52526",118,54,107,70,34,110,98,449,202,281,176,250,-1.21967866079886,4.11518445489782,-4.5223947417531,0.000522415132278764,0.101146383426957,0.0641617003197936
"34","GB52793",411,195,387,366,369,486,255,283,271,195,281,377,0.698978557237821,5.39005737982393,4.89979140411574,0.000260120785431566,0.101146383426957,0.704050191071691
"35","GB53785",5,2,7,1,4,2,9,43,28,12,17,13,-2.08837795829447,0.0910649003479633,-4.65239045718935,0.000410066940515877,0.101146383426957,-0.26558365922669
"36","GB54040",48,18,52,37,21,79,49,274,108,126,82,144,-1.26827364976928,3.14860957954883,-4.38901020935474,0.000671106870567321,0.101146383426957,-0.174267942438353
"37","GB54230",77,28,49,28,36,51,68,195,129,76,99,119,-1.05010023080449,3.18702131204745,-5.01141749487033,0.000212365072142688,0.101146383426957,0.842625029800564
"38","GB54235",103,54,100,65,54,124,103,323,192,149,129,240,-0.84410273655787,3.99339866151815,-5.0116286405481,0.00021228393259986,0.101146383426957,0.887810779702223
"39","GB54295",12,9,15,11,15,14,25,94,56,34,27,48,-1.47610445911083,1.66685734849381,-5.20191420707501,0.000150794739623044,0.101146383426957,0.850160127439946
"40","GB54316",272,69,106,140,75,224,53,101,49,34,87,50,1.49415800535895,3.55476646229836,5.33701258729576,0.000118634148614384,0.101146383426957,1.38776978624764
"41","GB54751",16,13,21,20,9,25,29,83,40,36,30,60,-1.07753279956734,1.86874990669554,-4.77832103000527,0.000324953068772191,0.101146383426957,0.306662367139364
"42","GB55160",175,74,161,109,85,246,155,607,298,250,264,482,-0.914779158325776,4.75859741661085,-4.98163996418636,0.000224137301995369,0.101146383426957,0.844597331231802
"43","GB55292",5,8,8,3,2,10,11,55,16,16,20,32,-1.67252155413636,0.601547398773634,-4.52341209195539,0.00052142210251236,0.101146383426957,-0.348404835098712
"44","GB55293",129,50,101,57,70,107,129,458,262,195,154,196,-1.07669857204342,4.14534568812608,-4.64556172547003,0.000415295605596101,0.101146383426957,0.274791188065182
"45","GB55323",36,27,50,26,31,54,41,179,126,97,88,116,-1.17058993110567,3.01364172266659,-4.93103769419484,0.000245723148956475,0.101146383426957,0.698730713087597
"46","GB55453",130,71,111,52,76,141,125,419,227,224,186,217,-0.948762636080192,4.25109686144331,-4.50632229297965,0.000538365138523182,0.101146383426957,0.0346236053106894
"47","GB55521",45,29,43,32,26,72,68,141,72,66,79,115,-0.838588867864206,2.97350146305634,-5.37652319108554,0.000110648535508419,0.101146383426957,1.38473593147234
"48","GB55860",19,7,16,15,4,11,23,77,58,33,31,45,-1.5980058405238,1.53437809150487,-5.08532939763966,0.000185841087756413,0.101146383426957,0.648497770011977
"49","GB55938",383,219,466,488,449,577,229,357,297,273,323,516,0.672071051475454,5.61728555202105,4.45938689036275,0.000587883900881661,0.101146383426957,-0.0594516650935484
"50","GB55939",100,50,67,66,81,110,45,57,51,44,55,99,0.742387385495606,3.15003968516192,4.38127829599798,0.000680962597676006,0.101146383426957,-0.183619576019642
