"","ID","C.1","C.2","C.3","T.1","T.2","T.3","logFC","AveExpr","t","pVal","adjPVal","B"
"15","1783",206,23,439,2,10,29,3.40149833566449,1.48332088863099,1.94545105834838,0.0830513467546839,0.999895351600856,-4.5850161494261
"16","2236",6,0,54,11,36,47,-3.04895010689714,0.00509945878391171,-1.84834441553142,0.0970709426120183,0.999895351600856,-4.58873582020989
"17","2243",115,41,6,31,0,4,2.27354509411298,-0.107806049606037,1.75825356038793,0.112026566506541,0.999895351600856,-4.59010666839234
"18","2321",15,39,54,41,115,66,-1.93049973659356,1.93116047968709,-1.77908876311752,0.108389390864744,0.999895351600856,-4.58237446965747
"19","2558",242,21,127,10,0,10,3.74017315904149,0.567637426785073,2.4024012239938,0.039319794758516,0.999895351600856,-4.5851730755032
"20","2564",347,104,381,560,463,332,-1.53134031127391,4.72778412581054,-2.13130087086978,0.0614024008982046,0.999895351600856,-4.56044896479945
"21","2568",0,0,11,41,14,8,-4.17958189840481,-1.31287069828345,-2.61491669716811,0.0276792667964954,0.999895351600856,-4.58682050839747
"22","2605",84,59,103,7,0,2,4.48105621148248,0.0827889056838013,3.36595288453792,0.00811967800097008,0.999895351600856,-4.58156663992048
"23","2732",141,91,214,220,1312,534,-2.63860775383255,4.4814508659753,-2.53453558130392,0.0316103408663087,0.999895351600856,-4.55134107990319
"24","2842",34,14,327,97,156,272,-2.50629563801723,2.93134145253242,-2.03181768987995,0.0722120040220553,0.999895351600856,-4.57296129396488
"25","2886",1868,592,135,307,24,48,2.23890258271869,3.98638018442777,2.98786334523626,0.0149840045406239,0.999895351600856,-4.54729107923979
"26","3021",15,78,145,202,125,71,-2.16104996600747,2.7509359962009,-1.89996399119754,0.0893629606269886,0.999895351600856,-4.57645998188833
"27","3332",344,273,176,508,362,308,-1.17117224905194,4.67117999719912,-2.24930657172839,0.0506005683228208,0.999895351600856,-4.55686292537599
"28","3343",112,42,6,0,10,18,3.02730805250468,-0.0326477965964975,1.97316890227111,0.0794145160469752,0.999895351600856,-4.58838026326288
"29","3361",742,274,193,208,99,112,0.82126797488312,4.11102321376009,1.73851886814342,0.115575019549384,0.999895351600856,-4.57520121348339
"30","3451",413,184,59,117,26,54,1.03560678255742,2.9608984334937,1.85613844142962,0.0958685195530889,0.999895351600856,-4.57679903082792
"31","4133",38,39,54,95,57,67,-1.50634834033312,2.18620277936623,-2.05858877559503,0.0691357308202952,0.999895351600856,-4.57592002616173
"32","4479",6,17,1,38,16,6,-2.16346187510185,-0.382493966580144,-1.87816933378455,0.0925446293619954,0.999895351600856,-4.58913909665237
"33","4657",40,44,21,168,31,35,-1.51976330066199,1.84070176654284,-2.07890039042439,0.0668859491776465,0.999895351600856,-4.57748599695692
"34","4664",94,69,34,272,69,43,-1.26523573744979,2.62007258807946,-1.86089723009303,0.0951412184828311,0.999895351600856,-4.57767781123025
"35","5369",5731,1461,14154,20081,15684,22409,-2.4544614147797,9.62468151404787,-2.38619743931832,0.0403854065462643,0.999895351600856,-4.5569789758849
"36","5378",28,10,15,30,58,89,-2.23096807704189,1.29050869470973,-2.36841756072341,0.0415875415984239,0.999895351600856,-4.57732205675685
"37","5582",664,352,262,1117,424,325,-1.00569740326253,5.22578377140377,-2.01150125699342,0.0746334745807465,0.999895351600856,-4.56264810255402
"38","5799",7,16,18,40,10,23,-1.80598594766692,0.454370824075736,-1.8235332087811,0.100993059017226,0.999895351600856,-4.58697426273804
"39","6164",11,16,14,31,13,49,-1.85821398986588,0.677698617133918,-2.03636756420268,0.0716800963478646,0.999895351600856,-4.58392504799845
"40","6570",6557,2887,941,1901,453,810,1.00320425562292,6.95210543819191,2.13905667509889,0.0606285712554363,0.999895351600856,-4.55840098142725
"41","6780",35,46,25,81,46,40,-1.32436954349052,1.81129980455424,-1.87240177021427,0.0934042166585715,0.999895351600856,-4.5810476306513
"42","7712",916,216,7978,14065,6044,7390,-3.37421511494914,8.00526390979025,-2.41016696116472,0.0388190084860958,0.999895351600856,-4.55255135437615
"43","8177",20,22,13,49,15,49,-1.65624883072316,1.01598879002913,-2.13466199937138,0.0610658816255431,0.999895351600856,-4.58110853664001
"44","8275",33,11,30,59,34,56,-1.83495945429302,1.43710670884941,-2.41745466292392,0.0383547983564095,0.999895351600856,-4.57508616074737
"45","8577",1345,467,112,270,43,154,1.19906520815513,4.19152538595497,1.98001690747399,0.0785395543763711,0.999895351600856,-4.56836170903932
"46","9066",30,18,1658,50,3044,1834,-3.91336145494682,4.36432614268371,-1.75687014420756,0.11227200857305,0.999895351600856,-4.5751094777502
"47","9082",79,56,1886,122,6800,5492,-4.06817302282016,5.56409986416388,-1.99010551444048,0.0772672161795124,0.999895351600856,-4.56557105117775
"48","9324",8,15,67,30,106,37,-2.26918175850096,1.38191183058169,-1.82043082934201,0.101493729985132,0.999895351600856,-4.58392572281482
"49","979",1069,146,891,1925,1645,2963,-2.64911614951909,6.41078554280312,-3.1477723480569,0.0115459102961512,0.999895351600856,-4.52927778186746
"50","998",1764,690,190,356,83,292,1.01667475682363,4.85377907773955,1.89219263379153,0.0904854780256663,0.999895351600856,-4.56833408746931
