id	CFB1	CFB2	CFB3	TFB1	TFB2	TFB3	logFC	logCPM	LR	PValue	FDR	sig	up/down
gnl|Amel_4.5|GB49414-RA	38	81	125	24	6	8	-1.507339915	1.850567956	2.985762031	0.08399974	0.326011043	0	-
gnl|Amel_4.5|GB49415-RA	482	500	520	132	62	46	-1.361846912	4.294835111	4.706698019	0.030045308	0.195749732	0	-
gnl|Amel_4.5|GB49416-RA	90	20	24	0	52	13	0.214636144	1.238976108	0.049709868	0.823568895	0.935154809	0	+
gnl|Amel_4.5|GB49417-RA	884	484	934	189	153	119	-1.066148833	4.961448212	3.681244513	0.055027762	0.26475101	0	-
gnl|Amel_4.5|GB49418-RA	638	533	408	216	351	269	0.322834979	4.95567933	0.434402458	0.509836598	0.771244438	0	+
gnl|Amel_4.5|GB49419-RA	63	55	62	54	65	33	0.956200878	2.246660627	2.193402227	0.138602865	0.421990034	0	+
gnl|Amel_4.5|GB49420-RA	189	118	67	32	34	19	-0.761153056	2.351227399	1.460962394	0.226777056	0.537024687	0	-
gnl|Amel_4.5|GB49421-RA	1871	658	503	216	462	119	-0.549057499	5.288574192	1.064038381	0.302295928	0.615185717	0	-
gnl|Amel_4.5|GB49422-RA	15	18	5	4	20	5	0.755911525	-0.037679491	0.719970988	0.396153426	0.695444516	0	+
gnl|Amel_4.5|GB49423-RA	1355	276	250	86	278	77	-0.651655915	4.470341287	1.184123461	0.276518137	0.588733699	0	-
gnl|Amel_4.5|GB49424-RA	766	150	130	50	193	60	-0.343324329	3.748814013	0.291645196	0.589168174	0.815920396	0	-
gnl|Amel_4.5|GB49425-RA	1798	397	301	168	548	184	-0.020638403	5.137196117	0.001313648	0.971087581	0.990264802	0	-
gnl|Amel_4.5|GB49426-RA	1076	293	375	121	217	76	-0.684278951	4.463946849	1.579573827	0.208822091	0.515515913	0	-
gnl|Amel_4.5|GB49427-RA	390	489	646	209	75	83	-0.811412016	4.545939396	1.540739887	0.214507708	0.523167712	0	-
gnl|Amel_4.5|GB49428-RA	1198	267	237	92	440	291	0.391351095	4.823655623	0.443196304	0.505583757	0.768540792	0	+
gnl|Amel_4.5|GB49429-RA	95	26	5	21	60	23	1.23552616	1.553199115	2.378198733	0.123039344	0.395579185	0	+
