"","ID","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"37","GB50827",32,73,41,87,58,43,127,125,179,126,71,32,-0.954880694664445,3.39753269308298,-3.89204157832803,0.00166904945913903,0.685128011932529,-1.74401836912261
"38","GB50933",10,55,31,23,28,14,54,71,119,64,20,19,-1.08828018277509,2.30686672278534,-3.86808903480711,0.00174904392902968,0.685128011932529,-2.20824732576017
"39","GB51346",32,63,107,55,93,45,28,44,62,44,22,26,0.74763120431283,2.78067405657206,3.74899185878157,0.00220869015623637,0.685128011932529,-2.11954110502756
"40","GB51995",84,100,102,103,119,70,105,251,265,151,99,83,-0.681047037010173,4.10556039350322,-3.53462823278141,0.0033678739110949,0.685128011932529,-1.94982149239933
"41","GB52146",4,14,17,12,6,2,30,35,39,44,17,5,-1.65418355236641,1.00516249495809,-3.88022798670911,0.00170802694367104,0.685128011932529,-2.79019696898968
"42","GB52523",6,18,19,11,7,4,30,53,37,34,8,12,-1.39731491196782,1.19386358411575,-3.98487714616812,0.00139263840901556,0.685128011932529,-2.62922176254015
"43","GB52842",49,124,75,102,100,52,138,136,218,187,102,60,-0.7471419713608,3.89912026248682,-4.23324431533125,0.000860963483472808,0.685128011932529,-1.16863798205523
"44","GB52955",175,557,288,230,193,202,458,578,780,552,283,223,-0.849808999292536,5.61111413871449,-4.08440215010564,0.00114780274061808,0.685128011932529,-1.06742712607776
"45","GB53016",45,85,46,74,26,84,80,110,252,171,68,61,-1.09211017914187,3.5136806998753,-3.63887753488608,0.00274244923558168,0.685128011932529,-1.99142864679864
"46","GB53531",19,50,45,37,51,25,52,60,133,73,30,41,-0.747133893070314,2.75235252943529,-4.1999054514039,0.000918078747935387,0.685128011932529,-1.70016815722739
"47","GB54528",4,10,1,12,10,3,8,23,37,28,11,12,-1.73841779230306,0.554311304529945,-3.72874881479458,0.00229824029494153,0.685128011932529,-3.05041542917663
"48","GB54551",48,54,52,56,55,28,103,125,139,104,46,41,-0.914843245877617,3.22753003139675,-4.38787357166232,0.000640067362813557,0.685128011932529,-1.30006302541721
"49","GB54610",125,304,431,253,366,207,199,212,303,206,78,94,0.615453484208497,4.92744492015237,3.83797332377107,0.00185518715140335,0.685128011932529,-1.41924625832602
"50","GB55619",294,709,629,729,578,395,837,1161,1205,1048,403,400,-0.553487498665525,6.54487244291007,-3.98873899213301,0.00138220851679692,0.685128011932529,-1.28077809245894
