"","x"
"GB41895",0.011848046161385
"GB41903",0.00978257059105286
"GB41905",0.000935076722392349
"GB41907",0.049761955780456
"GB41908",0.00655256260440488
"GB41912",0.0230087707903109
"GB41915",0.0346176648716412
"GB41942",0.0450837845391685
"GB41946",0.0492788914149421
"GB41965",0.00962647116341249
"GB41968",0.00576273709500772
"GB41970",0.00916461936819175
"GB41973",5.47901360190295e-06
"GB41976",0.0144418317817492
"GB41987",0.0191810130260883
"GB41989",1.37025625924987e-05
"GB42000",0.0016890918017492
"GB42010",4.02245333945122e-05
"GB42014",0.0235250729516514
"GB42017",0.0131721287793718
"GB42018",0.015947987986915
"GB42035",0.0310657259041352
"GB42039",0.0114283345759107
"GB42054",0.0010539775291158
"GB42083",0.0189595749504076
"GB42109",0.0279097002966317
"GB42111",1.73650997205802e-11
"GB42112",0.0129900855642041
"GB42150",7.66214159816589e-08
"GB42173",0.0147086735466703
"GB42183",0.000637650044760581
"GB42184",9.62497009026906e-07
"GB42189",0.00627034636083291
"GB42192",0.0146672926410507
"GB42196",0.0162583964113157
"GB42200",0.0180070664969196
"GB42205",0.0275863672529667
"GB42207",0.0267541713883896
"GB42215",0.0178311450252509
"GB42224",0.00738344385552808
"GB42249",0.013805617200885
"GB42265",0.023848312113293
"GB42276",0.0276507537173576
"GB42292",0.000485716499140742
"GB42294",0.000385318195148105
"GB42303",0.00989196565233704
"GB42326",0.0168904322323998
"GB42332",0.000431224691688156
"GB42334",0.0113831121562459
"GB42346",0.0252083422838001
"GB42350",0.00537217879121501
"GB42351",0.0255902032875465
"GB42360",0.00247818100082234
"GB42374",0.00671172559324893
"GB42376",0.0173354352875472
"GB42377",0.0351428675929722
"GB42419",0.0125826160348009
"GB42429",0.0104174554030605
"GB42447",0.00361567707561183
"GB42452",0.0347858470236501
"GB42465",0.00694351943933131
"GB42489",0.00108482472829577
"GB42495",0.0161276762794245
"GB42507",0.00420646022161045
"GB42508",0.00772811675673395
"GB42515",0.0241453221948461
"GB42535",0.00393566724207675
"GB42551",0.0281418990493273
"GB42564",0.00171512025289744
"GB42579",4.19360178079028e-05
"GB42580",0.0460446404339207
"GB42597",0.0184395120669255
"GB42598",0.0414541092573334
